"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","GET /todos (200) ANY","chromium","Wed Nov 12 15:22:19 UTC 2025","passed","Wed Nov 12 15:22:19 UTC 2025","Challenge","","",""
"","14","POST /todos (400) doneStatus","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","20","GET /todos/{id} (404)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","25","GET /challenges (200)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","12","DELETE /todos/{id} (200)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","13","GET /todos (406)","chromium","Wed Nov 12 15:22:19 UTC 2025","passed","Wed Nov 12 15:22:19 UTC 2025","Challenge","","",""
"","3001","Пользователь может зарегистрироваться","chromium","Wed Nov 12 15:22:19 UTC 2025","passed","Wed Nov 12 15:22:22 UTC 2025","Регистрация","","",""
"","14","PUT /todos/{id} (400)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","17","PUT /todos/{id} full (200)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","5181","Пользователь может опубликовать комментарий","chromium","Wed Nov 12 15:22:27 UTC 2025","passed","Wed Nov 12 15:22:32 UTC 2025","Регистрация","","",""
"","3260","Пользователь может перейти на таб ""Favorited Articles""","chromium","Wed Nov 12 15:22:42 UTC 2025","passed","Wed Nov 12 15:22:45 UTC 2025","Регистрация","","",""
"","5082","Пользователь может изменить статью","chromium","Wed Nov 12 15:22:32 UTC 2025","passed","Wed Nov 12 15:22:37 UTC 2025","Регистрация","","",""
"","13","GET /todos (200) JSON","chromium","Wed Nov 12 15:22:19 UTC 2025","passed","Wed Nov 12 15:22:19 UTC 2025","Challenge","","",""
"","13","OPTIONS /todos (200)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","15","PUT /todos/{id} no title (400)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","14","POST /todos (201) max out content","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","17","HEAD /todos (200)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","14","PUT /todos/{id} no amend id (400)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","22","GET /todos (200)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","14","POST /todos (400) extra","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","13","POST /todos/{id} (404)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","4260","Пользователь может добавить новую статью","chromium","Wed Nov 12 15:22:23 UTC 2025","passed","Wed Nov 12 15:22:27 UTC 2025","Регистрация","","",""
"","57","POST /todos (201)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","13","GET /todos (200) no accept","chromium","Wed Nov 12 15:22:19 UTC 2025","passed","Wed Nov 12 15:22:19 UTC 2025","Challenge","","",""
"","14","GET /todos (200) XML","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:19 UTC 2025","Challenge","","",""
"","13","POST /todos (400) description too long","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","14","GET /todo (404) not plural","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","16","GET /todos (200) XML pref","chromium","Wed Nov 12 15:22:19 UTC 2025","passed","Wed Nov 12 15:22:19 UTC 2025","Challenge","","",""
"","17","POST /todos/{id} (200)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","15","POST /todos (413) content too long","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","26","GET /todos (200) ?filter","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","29","GET /todos/{id} (200)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","16","POST /todos (400) title too long","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","16","PUT /todos/{id} partial (200)","chromium","Wed Nov 12 15:22:18 UTC 2025","passed","Wed Nov 12 15:22:18 UTC 2025","Challenge","","",""
"","4696","Пользователь в профиле видит свою статью","chromium","Wed Nov 12 15:22:37 UTC 2025","passed","Wed Nov 12 15:22:42 UTC 2025","Регистрация","","",""
